category_type,category,judge,n,rho,p,kappa,icc2,icc3,h_mean,h_median,h_std,l_mean,l_median,l_std,mean_diff,abs_diff
Target Compound Type,metals & alloys,claude-sonnet-4.6,6,0.8508410434878082,0.03171331782219683,0.6086956521739131,0.6936895439889449,0.7660223804679549,3.466666666666667,3.9,1.013245610238044,3.9,4.1,0.532916503778969,0.4333333333333333,0.5333333333333332
Target Compound Type,metals & alloys,deepseek-v3.2,6,-0.08956221510397983,0.8660158840890997,0.15999999999999992,0.13452027695351193,0.11826086956521789,3.466666666666667,3.9,1.013245610238044,3.6666666666666665,3.6999999999999997,0.7118052168020871,0.19999999999999987,0.8999999999999998
Target Compound Type,metals & alloys,gemini-3-flash,6,0.5454545454545454,0.2629601803155521,0.0,0.26147077309867983,0.5934379457917255,3.466666666666667,3.9,1.013245610238044,4.716666666666667,4.9,0.3763863263545406,1.2500000000000002,1.2500000000000002
Target Compound Type,metals & alloys,qwen3.5-397b-a17b,6,0.3751832396884335,0.4636309989791455,0.28,0.23760523854069215,0.3052884615384613,3.466666666666667,3.9,1.013245610238044,4.133333333333334,4.1,0.28751811537130423,0.6666666666666665,0.7999999999999999
Target Compound Type,nanomaterials,claude-sonnet-4.6,18,0.4658888141098537,0.05134012777097,0.20253164556962033,0.2010008206085364,0.2276695401775123,4.530555555555555,4.75,0.5549612834638025,4.25,4.4,0.3745585637080787,-0.2805555555555555,0.5083333333333333
Target Compound Type,nanomaterials,deepseek-v3.2,18,0.5472678525627593,0.01874057889605731,0.18181818181818177,0.35331057486330214,0.5564370773188718,4.530555555555555,4.75,0.5549612834638025,3.966666666666667,4.0,0.47154314879602544,-0.5638888888888888,0.6083333333333333
Target Compound Type,nanomaterials,gemini-3-flash,18,0.5310797509318509,0.02333842928082053,0.0,0.054054939474848074,0.08712411225809871,4.530555555555555,4.75,0.5549612834638025,4.9833333333333325,5.0,0.038348249442368386,0.4527777777777779,0.4527777777777779
Target Compound Type,nanomaterials,qwen3.5-397b-a17b,18,0.19077107226627835,0.4482878828648066,-0.2531645569620251,-0.014219910641417855,-0.01430858097292812,4.530555555555555,4.75,0.5549612834638025,4.338888888888889,4.45,0.5281921318086584,-0.1916666666666666,0.5916666666666667
Target Compound Type,other,claude-sonnet-4.6,2,,,,,,4.75,4.75,0.0,4.4,4.4,0.0,-0.34999999999999964,0.34999999999999964
Target Compound Type,other,deepseek-v3.2,2,,,0.0,,,4.75,4.75,0.0,3.45,3.45,0.7778174593052023,-1.3,1.3
Target Compound Type,other,gemini-3-flash,2,,,,,,4.75,4.75,0.0,5.0,5.0,0.0,0.25,0.25
Target Compound Type,other,qwen3.5-397b-a17b,2,,,,,,4.75,4.75,0.0,4.7,4.7,0.2828427124746193,-0.04999999999999982,0.20000000000000018
Target Compound Type,two-dimensional materials,claude-sonnet-4.6,5,-0.3952847075210474,0.5101402032424359,-0.25,-0.34883720930232326,-0.3092783505154629,4.4,4.5,0.22360679774997896,4.279999999999999,4.4,0.2167948338867882,-0.11999999999999984,0.27999999999999997
Target Compound Type,two-dimensional materials,deepseek-v3.2,5,-0.7071067811865475,0.18169011381620942,-0.4285714285714286,-0.5520504731861192,-0.7291666666666667,4.4,4.5,0.22360679774997896,4.0,3.9,0.43588989435406733,-0.4,0.68
Target Compound Type,two-dimensional materials,gemini-3-flash,5,-0.25,0.6850376424742924,0.0,-0.013262599469497562,-0.0961538461538561,4.4,4.5,0.22360679774997896,4.9799999999999995,5.0,0.044721359549995635,0.5800000000000001,0.5800000000000001
Target Compound Type,two-dimensional materials,qwen3.5-397b-a17b,5,0.35355339059327373,0.5594043441634877,0.2857142857142857,0.10869565217391253,0.19108280254776963,4.4,4.5,0.22360679774997896,4.0200000000000005,4.0,0.32710854467592243,-0.38000000000000006,0.38000000000000006
Synthesis Method,CVD,claude-sonnet-4.6,5,-0.8603090020146066,0.061343779336694854,0.0,-0.2649285113540809,-0.521523178807949,4.6,4.75,0.22360679774997896,3.9800000000000004,4.2,0.5019960159204455,-0.6199999999999999,0.6799999999999999
Synthesis Method,CVD,deepseek-v3.2,5,-0.8249579113843054,0.08556628128992658,0.0,-0.11270983213429273,-0.8901515151515156,4.6,4.75,0.22360679774997896,3.6199999999999997,3.6,0.28635642126552696,-0.9800000000000001,0.9800000000000001
Synthesis Method,CVD,gemini-3-flash,5,,,,8.500145032286347e-16,3.400058012914554e-15,4.6,4.75,0.22360679774997896,5.0,5.0,0.0,0.4,0.4
Synthesis Method,CVD,qwen3.5-397b-a17b,5,-0.4472135954999579,0.4501848557521007,0.0,-0.10638297872340455,-0.217633928571429,4.6,4.75,0.22360679774997896,3.8400000000000007,3.9,0.6308724118235002,-0.76,0.76
Synthesis Method,arc melting & induction melting,claude-sonnet-4.6,4,0.5000000000000001,0.49999999999999983,0.0,,,4.1,4.1,0.3265986323710903,4.225,4.15,0.18929694486000928,0.125,0.2749999999999999
Synthesis Method,arc melting & induction melting,deepseek-v3.2,4,-0.9486832980505139,0.05131670194948613,-0.5,,,4.1,4.1,0.3265986323710903,3.8,3.6999999999999997,0.6683312551921138,-0.30000000000000004,0.7499999999999998
Synthesis Method,arc melting & induction melting,gemini-3-flash,4,-0.7071067811865477,0.2928932188134523,0.0,,,4.1,4.1,0.3265986323710903,4.95,4.95,0.05773502691896237,0.8500000000000003,0.8500000000000003
Synthesis Method,arc melting & induction melting,qwen3.5-397b-a17b,4,-0.5000000000000001,0.49999999999999983,0.0,,,4.1,4.1,0.3265986323710903,4.25,4.15,0.23804761428476162,0.1499999999999999,0.3500000000000001
Synthesis Method,float zone & Bridgman,claude-sonnet-4.6,4,0.2581988897471611,0.7418011102528389,0.0,,,4.625,4.5,0.25,3.8,3.8,0.2943920288775948,-0.8250000000000001,0.8250000000000001
Synthesis Method,float zone & Bridgman,deepseek-v3.2,4,0.5443310539518174,0.4556689460481826,0.0,,,4.625,4.5,0.25,3.5749999999999997,3.8499999999999996,0.7544313531837515,-1.0500000000000003,1.0500000000000003
Synthesis Method,float zone & Bridgman,gemini-3-flash,4,-0.5773502691896257,0.4226497308103743,,,,4.625,4.5,0.25,4.95,4.95,0.05773502691896237,0.3250000000000002,0.375
Synthesis Method,float zone & Bridgman,qwen3.5-397b-a17b,4,-0.2581988897471611,0.7418011102528389,0.0,,,4.625,4.5,0.25,3.85,3.8499999999999996,0.35118845842842455,-0.775,0.775
Synthesis Method,hydrothermal,claude-sonnet-4.6,12,0.7007719320183305,0.011129352989200458,0.31818181818181823,0.4607329842931926,0.45467355565993306,4.2749999999999995,4.5,0.6454385401344648,4.3999999999999995,4.5,0.2593698657761292,0.125,0.37499999999999983
Synthesis Method,hydrothermal,deepseek-v3.2,12,0.7263254051373348,0.007470505934805527,0.26530612244897966,0.67520531873289,0.7600704380365393,4.2749999999999995,4.5,0.6454385401344648,3.9583333333333335,3.8499999999999996,0.5212891944424172,-0.31666666666666665,0.3999999999999999
Synthesis Method,hydrothermal,gemini-3-flash,12,0.7445304179517668,0.005476495197264141,0.0,0.05231353591160239,0.10966340933767711,4.2749999999999995,4.5,0.6454385401344648,4.975,5.0,0.04522670168666438,0.7000000000000001,0.7000000000000001
Synthesis Method,hydrothermal,qwen3.5-397b-a17b,12,0.6891638162270914,0.01317139289602573,0.0,0.36014851485148497,0.4658981748318924,4.2749999999999995,4.5,0.6454385401344648,4.675,4.65,0.23788843832962767,0.4000000000000002,0.4666666666666668
Synthesis Method,molecular beam epitaxy,claude-sonnet-4.6,4,-0.5443310539518174,0.4556689460481826,-0.33333333333333326,,,4.375,4.5,0.25,4.25,4.35,0.23804761428476184,-0.12499999999999989,0.32500000000000007
Synthesis Method,molecular beam epitaxy,deepseek-v3.2,4,-0.7745966692414834,0.22540333075851665,-0.5,,,4.375,4.5,0.25,4.075,4.0,0.46457866215887855,-0.30000000000000004,0.6500000000000001
Synthesis Method,molecular beam epitaxy,gemini-3-flash,4,,,0.0,,,4.375,4.5,0.25,5.0,5.0,0.0,0.625,0.625
Synthesis Method,molecular beam epitaxy,qwen3.5-397b-a17b,4,0.2581988897471611,0.7418011102528389,0.19999999999999996,,,4.375,4.5,0.25,4.0,3.95,0.3741657386773941,-0.375,0.375
Synthesis Method,other,claude-sonnet-4.6,4,,,0.0,,,4.75,4.75,0.0,4.0,4.0,0.46188021535170076,-0.7499999999999998,0.7499999999999998
Synthesis Method,other,deepseek-v3.2,4,,,0.0,,,4.75,4.75,0.0,3.4250000000000003,3.4000000000000004,0.47871355387816905,-1.325,1.325
Synthesis Method,other,gemini-3-flash,4,,,,,,4.75,4.75,0.0,4.95,4.95,0.05773502691896237,0.20000000000000018,0.20000000000000018
Synthesis Method,other,qwen3.5-397b-a17b,4,,,0.0,,,4.75,4.75,0.0,4.075,4.15,0.7932002689527197,-0.6749999999999999,0.7500000000000001
Synthesis Method,pulsed laser deposition,claude-sonnet-4.6,8,0.7139328934618737,0.04668709887293112,0.33333333333333337,0.49162011173184406,0.6547619047619051,4.25,4.5,0.3779644730092272,3.95,3.9,0.31167748898959197,-0.29999999999999993,0.32499999999999996
Synthesis Method,pulsed laser deposition,deepseek-v3.2,8,0.5808178695515157,0.13110228460382845,0.5384615384615384,0.33632937083212466,0.41207815275310766,4.25,4.5,0.3779644730092272,3.8625,3.9,0.5998511720180504,-0.3875,0.5875000000000001
Synthesis Method,pulsed laser deposition,gemini-3-flash,8,0.9285714285714286,0.0008629681828999812,0.0,0.0814663951120162,0.32444959443800653,4.25,4.5,0.3779644730092272,4.9375,5.0,0.10606601717798203,0.6875000000000001,0.6875000000000001
Synthesis Method,pulsed laser deposition,qwen3.5-397b-a17b,8,-0.1539855260407963,0.7158087154042824,-0.25,-0.17837235228539533,-0.1805869074492094,4.25,4.5,0.3779644730092272,4.025,3.9499999999999997,0.4166190448976481,-0.2250000000000001,0.55
Synthesis Method,solid-state,claude-sonnet-4.6,6,0.3198010745334156,0.5366518522385169,0.0,0.08224299065420518,0.19281332164767648,4.833333333333333,5.0,0.25819888974716115,4.083333333333333,4.25,0.5600595206463922,-0.7500000000000001,0.7500000000000001
Synthesis Method,solid-state,deepseek-v3.2,6,-0.10502100630210075,0.8430476505080737,0.0,-0.1341853035143772,-0.220588235294118,4.833333333333333,5.0,0.25819888974716115,4.1000000000000005,4.449999999999999,0.7536577472566709,-0.7333333333333334,0.7666666666666666
Synthesis Method,solid-state,gemini-3-flash,6,0.12247448713915891,0.8172068279448054,0.0,-0.27586206896551874,-0.2219755826859057,4.833333333333333,5.0,0.25819888974716115,4.783333333333333,5.0,0.48339080118126654,-0.04999999999999997,0.3500000000000001
Synthesis Method,solid-state,qwen3.5-397b-a17b,6,0.8528028654224417,0.030905834747225313,,0.5614035087719318,0.8791208791208825,4.833333333333333,5.0,0.25819888974716115,4.566666666666667,4.6,0.2338090388900022,-0.2666666666666668,0.2666666666666668
Synthesis Method,solution-based,claude-sonnet-4.6,7,0.7035264706814485,0.07775208077043504,0.6037735849056602,0.6990860089055543,0.6683844947344836,4.128571428571428,5.0,1.330055494724795,4.042857142857143,4.3,0.5968169536721256,-0.08571428571428585,0.6857142857142858
Synthesis Method,solution-based,deepseek-v3.2,7,0.582921932850343,0.16957644755077883,0.36363636363636365,0.4460028050490887,0.42296608290844634,4.128571428571428,5.0,1.330055494724795,3.871428571428571,4.1,0.6156684327197708,-0.2571428571428572,0.9428571428571428
Synthesis Method,solution-based,gemini-3-flash,7,0.8871510790372951,0.007725452718259072,0.0,0.42838196286472124,0.4860797592174566,4.128571428571428,5.0,1.330055494724795,4.757142857142857,4.9,0.3598941643369751,0.6285714285714287,0.6571428571428571
Synthesis Method,solution-based,qwen3.5-397b-a17b,7,0.45643546458763845,0.30325751942118606,0.2222222222222222,0.06498893805309706,0.05705268268997304,4.128571428571428,5.0,1.330055494724795,3.971428571428571,4.1,0.4386125310350268,-0.15714285714285717,1.1285714285714283
Synthesis Method,solvothermal,claude-sonnet-4.6,4,0.8164965809277261,0.18350341907227385,,,,4.875,5.0,0.25,4.425,4.4,0.125830573921179,-0.44999999999999996,0.44999999999999996
Synthesis Method,solvothermal,deepseek-v3.2,4,0.7745966692414834,0.22540333075851665,0.0,,,4.875,5.0,0.25,4.05,4.1,0.36968455021364727,-0.825,0.825
Synthesis Method,solvothermal,gemini-3-flash,4,1.0,0.0,,,,4.875,5.0,0.25,4.975,5.0,0.04999999999999982,0.10000000000000009,0.10000000000000009
Synthesis Method,solvothermal,qwen3.5-397b-a17b,4,0.2581988897471611,0.7418011102528389,0.0,,,4.875,5.0,0.25,4.325,4.4,0.3095695936834451,-0.5500000000000002,0.5500000000000002
